"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2012","NO","eun_web","grade8","pc_schools","0.8575"
"2012","PL","eun_web","grade11gen","pc_schools","0.762"
"2012","PL","eun_web","grade11voc","pc_schools","0.7872"
"2012","PL","eun_web","grade4","pc_schools","0.6327"
"2012","PL","eun_web","grade8","pc_schools","0.7477"
"2012","PT","eun_web","grade11gen","pc_schools","1"
"2012","PT","eun_web","grade11voc","pc_schools","1"
"2012","PT","eun_web","grade4","pc_schools","0.9615"
"2012","PT","eun_web","grade8","pc_schools","0.9753"
"2012","RO","eun_web","grade11gen","pc_schools","0.8388"
"2012","RO","eun_web","grade11voc","pc_schools","0.7284"
"2012","SE","eun_web","grade11gen","pc_schools","1"
"2012","SE","eun_web","grade11voc","pc_schools","1"
"2012","SE","eun_web","grade4","pc_schools","0.8473"
"2012","SE","eun_web","grade8","pc_schools","0.9523"
"2012","SI","eun_web","grade11gen","pc_schools","1"
"2012","SI","eun_web","grade11voc","pc_schools","0.9647"
"2012","SI","eun_web","grade4","pc_schools","0.9201"
"2012","SI","eun_web","grade8","pc_schools","0.9397"
"2012","SK","eun_web","grade11gen","pc_schools","0.9202"
"2012","SK","eun_web","grade11voc","pc_schools","0.853"
"2012","SK","eun_web","grade4","pc_schools","0.8322"
"2012","SK","eun_web","grade8","pc_schools","0.8709"
"2012","TR","eun_web","grade11gen","pc_schools","0.789"
"2012","TR","eun_web","grade11voc","pc_schools","0.7"
